PING cs3.gs1.wac.edgecastcdn.net (93.184.220.23) 56(84) bytes of data.
64 bytes from 93.184.220.23: icmp_seq=41 ttl=52 time=8.61 ms
64 bytes from 93.184.220.23: icmp_seq=42 ttl=52 time=7.07 ms
64 bytes from 93.184.220.23: icmp_seq=43 ttl=52 time=7.14 ms
64 bytes from 93.184.220.23: icmp_seq=44 ttl=52 time=7.83 ms
64 bytes from 93.184.220.23: icmp_seq=45 ttl=52 time=8.58 ms
64 bytes from 93.184.220.23: icmp_seq=46 ttl=52 time=9.34 ms
64 bytes from 93.184.220.23: icmp_seq=47 ttl=52 time=10.2 ms
64 bytes from 93.184.220.23: icmp_seq=48 ttl=52 time=7.29 ms
64 bytes from 93.184.220.23: icmp_seq=49 ttl=52 time=7.01 ms
64 bytes from 93.184.220.23: icmp_seq=50 ttl=52 time=13.5 ms
64 bytes from 93.184.220.23: icmp_seq=51 ttl=52 time=13.0 ms
64 bytes from 93.184.220.23: icmp_seq=52 ttl=52 time=7.32 ms
64 bytes from 93.184.220.23: icmp_seq=53 ttl=52 time=8.05 ms
64 bytes from 93.184.220.23: icmp_seq=54 ttl=52 time=9.51 ms
64 bytes from 93.184.220.23: icmp_seq=55 ttl=52 time=7.92 ms
64 bytes from 93.184.220.23: icmp_seq=56 ttl=52 time=9.69 ms
64 bytes from 93.184.220.23: icmp_seq=57 ttl=52 time=7.95 ms
64 bytes from 93.184.220.23: icmp_seq=58 ttl=52 time=11.3 ms
64 bytes from 93.184.220.23: icmp_seq=59 ttl=52 time=13.6 ms
64 bytes from 93.184.220.23: icmp_seq=60 ttl=52 time=8.29 ms
64 bytes from 93.184.220.23: icmp_seq=61 ttl=52 time=7.13 ms
64 bytes from 93.184.220.23: icmp_seq=62 ttl=52 time=7.26 ms
64 bytes from 93.184.220.23: icmp_seq=63 ttl=52 time=8.18 ms
64 bytes from 93.184.220.23: icmp_seq=64 ttl=52 time=8.27 ms
64 bytes from 93.184.220.23: icmp_seq=65 ttl=52 time=8.49 ms
64 bytes from 93.184.220.23: icmp_seq=66 ttl=52 time=8.18 ms
64 bytes from 93.184.220.23: icmp_seq=67 ttl=52 time=8.46 ms
64 bytes from 93.184.220.23: icmp_seq=68 ttl=52 time=7.91 ms
64 bytes from 93.184.220.23: icmp_seq=69 ttl=52 time=8.02 ms
64 bytes from 93.184.220.23: icmp_seq=70 ttl=52 time=8.82 ms
64 bytes from 93.184.220.23: icmp_seq=71 ttl=52 time=7.58 ms
64 bytes from 93.184.220.23: icmp_seq=72 ttl=52 time=8.60 ms
64 bytes from 93.184.220.23: icmp_seq=73 ttl=52 time=8.42 ms
64 bytes from 93.184.220.23: icmp_seq=74 ttl=52 time=8.74 ms
64 bytes from 93.184.220.23: icmp_seq=75 ttl=52 time=7.30 ms
64 bytes from 93.184.220.23: icmp_seq=76 ttl=52 time=11.6 ms
64 bytes from 93.184.220.23: icmp_seq=77 ttl=52 time=9.94 ms
64 bytes from 93.184.220.23: icmp_seq=78 ttl=52 time=7.75 ms
64 bytes from 93.184.220.23: icmp_seq=79 ttl=52 time=15.2 ms
64 bytes from 93.184.220.23: icmp_seq=80 ttl=52 time=7.42 ms
64 bytes from 93.184.220.23: icmp_seq=81 ttl=52 time=7.18 ms
64 bytes from 93.184.220.23: icmp_seq=82 ttl=52 time=8.89 ms
64 bytes from 93.184.220.23: icmp_seq=83 ttl=52 time=9.67 ms
64 bytes from 93.184.220.23: icmp_seq=84 ttl=52 time=7.87 ms
64 bytes from 93.184.220.23: icmp_seq=85 ttl=52 time=8.43 ms
64 bytes from 93.184.220.23: icmp_seq=86 ttl=52 time=11.4 ms
64 bytes from 93.184.220.23: icmp_seq=87 ttl=52 time=9.84 ms
64 bytes from 93.184.220.23: icmp_seq=88 ttl=52 time=7.31 ms
64 bytes from 93.184.220.23: icmp_seq=89 ttl=52 time=7.16 ms
64 bytes from 93.184.220.23: icmp_seq=90 ttl=52 time=7.98 ms
64 bytes from 93.184.220.23: icmp_seq=91 ttl=52 time=7.49 ms
64 bytes from 93.184.220.23: icmp_seq=92 ttl=52 time=8.87 ms
64 bytes from 93.184.220.23: icmp_seq=93 ttl=52 time=9.49 ms
64 bytes from 93.184.220.23: icmp_seq=94 ttl=52 time=11.2 ms
64 bytes from 93.184.220.23: icmp_seq=95 ttl=52 time=12.3 ms
64 bytes from 93.184.220.23: icmp_seq=96 ttl=52 time=13.5 ms
64 bytes from 93.184.220.23: icmp_seq=97 ttl=52 time=8.28 ms
64 bytes from 93.184.220.23: icmp_seq=98 ttl=52 time=10.7 ms
64 bytes from 93.184.220.23: icmp_seq=99 ttl=52 time=8.91 ms
64 bytes from 93.184.220.23: icmp_seq=100 ttl=52 time=7.10 ms
64 bytes from 93.184.220.23: icmp_seq=101 ttl=52 time=8.33 ms
64 bytes from 93.184.220.23: icmp_seq=102 ttl=52 time=8.03 ms
64 bytes from 93.184.220.23: icmp_seq=103 ttl=52 time=7.99 ms
64 bytes from 93.184.220.23: icmp_seq=104 ttl=52 time=7.01 ms
64 bytes from 93.184.220.23: icmp_seq=105 ttl=52 time=15.2 ms
64 bytes from 93.184.220.23: icmp_seq=106 ttl=52 time=7.28 ms
64 bytes from 93.184.220.23: icmp_seq=107 ttl=52 time=9.75 ms
64 bytes from 93.184.220.23: icmp_seq=108 ttl=52 time=11.0 ms
64 bytes from 93.184.220.23: icmp_seq=109 ttl=52 time=13.4 ms
64 bytes from 93.184.220.23: icmp_seq=110 ttl=52 time=10.2 ms
64 bytes from 93.184.220.23: icmp_seq=111 ttl=52 time=10.7 ms
64 bytes from 93.184.220.23: icmp_seq=112 ttl=52 time=7.39 ms
64 bytes from 93.184.220.23: icmp_seq=113 ttl=52 time=7.82 ms
64 bytes from 93.184.220.23: icmp_seq=114 ttl=52 time=7.56 ms
64 bytes from 93.184.220.23: icmp_seq=115 ttl=52 time=10.0 ms
64 bytes from 93.184.220.23: icmp_seq=116 ttl=52 time=8.39 ms
64 bytes from 93.184.220.23: icmp_seq=117 ttl=52 time=13.5 ms
64 bytes from 93.184.220.23: icmp_seq=118 ttl=52 time=10.5 ms
64 bytes from 93.184.220.23: icmp_seq=119 ttl=52 time=7.04 ms
64 bytes from 93.184.220.23: icmp_seq=120 ttl=52 time=7.24 ms

--- cs3.gs1.wac.edgecastcdn.net ping statistics ---
120 packets transmitted, 120 received, 0% packet loss, time 119160ms
rtt min/avg/max/mdev = 7.012/9.305/15.257/2.013 ms
